,Unnamed: 0,LONGITUDE,LATITUDE,DATE_START,DATE_END,FLAG,EQ_NUM,SURFSKINTEMP,SURFAIRTEMP,TOTH2OVAP,TOTO3,TOTCO,TOTCH4,OLR_ARIS,CLROLR_ARIS,OLR_NOAA,MODIS_LST,LABEL_PREDICTION
8298,Fold3.17551,-47.5,37.5,2006-11-12,2006-11-16,0,109,3,2,11,6,2,3,3,3,1,3,0
8299,Fold3.17552,-47.5,37.5,2006-11-17,2006-11-21,0,109,2,4,9,7,8,1,11,11,6,3,1
8300,Fold3.17553,-47.5,37.5,2006-11-22,2006-11-26,0,109,5,10,10,6,5,4,4,4,12,3,1
8301,Fold3.17554,-47.5,37.5,2006-11-27,2006-12-01,0,109,5,2,10,4,12,8,12,12,12,3,1
8302,Fold3.17555,-47.5,37.5,2006-12-02,2006-12-06,0,109,4,3,5,13,9,9,8,8,1,3,1
8303,Fold3.17556,-47.5,37.5,2006-12-07,2006-12-11,0,109,7,1,5,9,14,9,12,12,4,3,1
8304,Fold3.17557,-47.5,38.5,2006-11-12,2006-11-16,0,109,3,10,11,17,10,3,3,3,7,3,1
8305,Fold3.17558,-47.5,38.5,2006-11-17,2006-11-21,0,109,10,1,7,13,9,1,8,8,3,3,1
8306,Fold3.17559,-47.5,38.5,2006-11-22,2006-11-26,0,109,5,2,10,3,5,3,4,4,4,3,1
8307,Fold3.17560,-47.5,38.5,2006-11-27,2006-12-01,0,109,9,10,3,4,12,8,8,8,12,3,0
8308,Fold3.17561,-47.5,38.5,2006-12-02,2006-12-06,0,109,9,1,7,13,9,8,12,12,1,3,0
8309,Fold3.17562,-47.5,38.5,2006-12-07,2006-12-11,0,109,1,1,7,9,14,5,12,12,4,3,0
8310,Fold3.17563,-47.5,39.5,2006-11-12,2006-11-16,0,109,3,9,11,17,2,6,8,8,7,3,0
8311,Fold3.17564,-47.5,39.5,2006-11-17,2006-11-21,0,109,10,1,7,7,9,2,6,6,3,3,1
8312,Fold3.17565,-47.5,39.5,2006-11-22,2006-11-26,0,109,2,6,12,3,8,3,4,4,4,3,0
8313,Fold3.17566,-47.5,39.5,2006-11-27,2006-12-01,0,109,9,7,1,11,4,8,5,5,2,3,1
8314,Fold3.17567,-47.5,39.5,2006-12-02,2006-12-06,0,109,3,1,7,8,9,5,2,2,6,3,0
8315,Fold3.17568,-47.5,39.5,2006-12-07,2006-12-11,0,109,10,8,6,13,14,2,12,12,1,3,1
8316,Fold3.17569,-48.5,34.5,2006-11-12,2006-11-16,0,109,3,2,3,13,11,3,12,12,3,3,1
8317,Fold3.17570,-48.5,34.5,2006-11-17,2006-11-21,0,109,10,10,11,13,9,1,11,11,9,3,1
8318,Fold3.17571,-48.5,34.5,2006-11-22,2006-11-26,0,109,5,2,10,13,3,2,1,1,10,3,0
8319,Fold3.17572,-48.5,34.5,2006-11-27,2006-12-01,0,109,3,2,10,3,16,10,3,3,1,3,0
